title,book_authors,publicationYear,categories
A Tale of Two Cities,Charles Dickens,1859,Historical fiction
The Little Prince (Le Petit Prince),Antoine de Saint-Exupéry,1943,Novella
Harry Potter and the Philosopher's Stone,J. K. Rowling,1997,Fantasy
And Then There Were None,Agatha Christie,1939,Mystery
Dream of the Red Chamber (紅樓夢),Cao Xueqin,1791,Family saga
The Hobbit,J. R. R. Tolkien,1937,Fantasy
"The Lion, the Witch and the Wardrobe",C. S. Lewis,1950,"Fantasy, Children's fiction"
She: A History of Adventure,H. Rider Haggard,1887,Adventure
Vardi Wala Gunda (वर्दी वाला गुंडा),Ved Prakash Sharma,1992,Detective
The Da Vinci Code,Dan Brown,2003,Mystery thriller
Harry Potter and the Chamber of Secrets,J. K. Rowling,1998,Fantasy
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,1999,Fantasy
Harry Potter and the Goblet of Fire,J. K. Rowling,2000,Fantasy
Harry Potter and the Order of the Phoenix,J. K. Rowling,2003,Fantasy
Harry Potter and the Half-Blood Prince,J. K. Rowling,2005,Fantasy
Harry Potter and the Deathly Hallows,J. K. Rowling,2007,Fantasy
The Alchemist (O Alquimista),Paulo Coelho,1988,Fantasy
The Catcher in the Rye,J. D. Salinger,1951,Coming-of-age
The Bridges of Madison County,Robert James Waller,1992,Romance
Ben-Hur: A Tale of the Christ,Lew Wallace,1880,Historical fiction
You Can Heal Your Life,Louise Hay,1984,Self-help
One Hundred Years of Solitude (Cien años de soledad),Gabriel García Márquez,1967,Magic realism
Lolita,Vladimir Nabokov,1955,Novel
Heidi,Johanna Spyri,1880,Children's fiction
The Common Sense Book of Baby and Child Care,Benjamin Spock,1946,Manual
Anne of Green Gables,Lucy Maud Montgomery,1908,Children's novel
Black Beauty,Anna Sewell,1877,Children's literature
The Name of the Rose (Il Nome della Rosa),Umberto Eco,1980,"Historical novel, mystery"
The Eagle Has Landed,Jack Higgins,1975,"War, thriller"
Watership Down,Richard Adams,1972,Fantasy
The Hite Report,Shere Hite,1976,Sexology
Charlotte's Web,E. B. White; illustrated by Garth Williams,1952,Children's fiction
The Ginger Man,J. P. Donleavy,1955,Novel
The Tale of Peter Rabbit,Beatrix Potter,1902,Children's Literature
Jonathan Livingston Seagull,Richard Bach,1970,"Novella, Self-help"
The Very Hungry Caterpillar,Eric Carle,1969,"Children's Literature, picture book"
A Message to Garcia,Elbert Hubbard,1899,Essay/Literature
To Kill a Mockingbird,Harper Lee,1960,"Southern Gothic, Bildungsroman"
Flowers in the Attic,V. C. Andrews,1979,"Gothic horror, Family saga"
Cosmos,Carl Sagan,1980,"Popular science, Anthropology, Astrophysics, Cosmology, Philosophy, History"
Sophie's World (Sofies verden),Jostein Gaarder,1991,"Philosophical novel, Young adult"
Angels & Demons,Dan Brown,2000,Mystery-thriller
Kane and Abel,Jeffrey Archer,1979,Novel
How the Steel Was Tempered (Как закалялась сталь),Nikolai Ostrovsky,1932,Socialist realist novel
War and Peace (Война и мир),Leo Tolstoy,1869,Historical novel
The Adventures of Pinocchio (Le avventure di Pinocchio),Carlo Collodi,1881,"Fantasy, Children's fiction"
The Diary of Anne Frank (Het Achterhuis),Anne Frank,1947,"Historical non-fiction, Autobiography, Memoir, Bildungsroman / Coming of Age, Jewish literature"
Your Erroneous Zones,Wayne Dyer,1976,Self-help
The Thorn Birds,Colleen McCullough,1977,Romantic family saga
The Purpose Driven Life,Rick Warren,2002,Christian literature
The Kite Runner,Khaled Hosseini,2003,"Bildungsroman, Historical fiction"
Valley of the Dolls,Jacqueline Susann,1966,Novel
Alcoholics Anonymous Big Book,Bill Wilson,1939,Self-help
How to Win Friends and Influence People,Dale Carnegie,1936,Self-help
The Great Gatsby,F. Scott Fitzgerald,1925,"Novel, tragedy"
Gone with the Wind,Margaret Mitchell,1936,Historical fiction
Rebecca,Daphne du Maurier,1938,Gothic novel
Nineteen Eighty-Four,George Orwell,1949,"Dystopian, political fiction, social science fiction"
The Revolt of Mamie Stover,William Bradford Huie,1951,Fiction
The Girl with the Dragon Tattoo (Män som hatar kvinnor),Stieg Larsson,2005,Fiction
The Lost Symbol,Dan Brown,2009,Fiction
The Hunger Games,Suzanne Collins,2008,Young adult fiction
James and the Giant Peach,Roald Dahl,1961,Children's novel
The Young Guard (Молодая гвардия),Alexander Alexandrovich Fadeyev,1945,Young adult historical novel
Who Moved My Cheese?,Spencer Johnson,1998,"Self-help, motivational, business fable, psychology, leadership, parable"
A Brief History of Time,Stephen Hawking,1988,Popular science
Paul et Virginie,Jacques-Henri Bernardin de Saint-Pierre,1788,Novel
Lust for Life,Irving Stone,1934,Biographical novel
The Wind in the Willows,Kenneth Grahame,1908,Children's literature
The 7 Habits of Highly Effective People,Stephen R. Covey,1989,Self-help
